"id","learning_rate","num_hidden","num_neurons","dropout_hidden","mse","mse_validate"
900,0.14,5,500,0.55,1.71719810234711e+31,1.71719810234711e+31
895,0.14,4,500,0.55,2.02491989424953e+31,2.02491989424953e+31
890,0.14,3,500,0.55,1.0876680783355e+32,1.0876680783355e+32
880,0.14,1,500,0.55,1.12163319837803e+32,1.12163319837803e+32
885,0.14,2,500,0.55,1.49969910987131e+35,1.49969910987131e+35
980,0.14,1,500,0.5,1.06541467832677e+38,1.06541467832677e+38
990,0.14,3,500,0.5,2.10202870126693e+39,2.10202870126693e+39
985,0.14,2,500,0.5,1.08265843957506e+40,1.08265843957506e+40
1000,0.14,5,500,0.5,8.1927350261283e+40,8.1927350261283e+40
995,0.14,4,500,0.5,1.09426744086738e+44,1.09426744086738e+44
