"id","learning_rate","num_hidden","num_neurons","dropout_hidden","pccc","pccc_validate"
15,0.01,2,100,0.9,0.111111111111111,0.092896174863388
17,0.01,3,100,0.9,0.121212121212121,0.131147540983607
27,0.01,2,100,85,0.161616161616162,0.131147540983607
30,0.14,3,100,85,0.191919191919192,0.273224043715847
16,0.14,2,100,0.9,0.196969696969697,0.202185792349727
12,0.14,3,200,0.95,0.202020202020202,0.191256830601093
6,0.14,3,100,0.95,0.237373737373737,0.273224043715847
34,0.14,2,200,85,0.247474747474748,0.147540983606557
29,0.01,3,100,85,0.262626262626263,0.327868852459016
32,0.14,1,200,85,0.308080808080808,0.295081967213115
10,0.14,2,200,0.95,0.333333333333333,0.420765027322404
26,0.14,1,100,85,0.343434343434343,0.46448087431694
35,0.01,3,200,85,0.363636363636364,0.382513661202186
36,0.14,3,200,85,0.393939393939394,0.46448087431694
33,0.01,2,200,85,0.439393939393939,0.398907103825137
23,0.01,3,200,0.9,0.48989898989899,0.497267759562842
11,0.01,3,200,0.95,0.515151515151515,0.579234972677596
28,0.14,2,100,85,0.575757575757576,0.546448087431694
3,0.01,2,100,0.95,0.601010101010101,0.628415300546448
9,0.01,2,200,0.95,0.621212121212121,0.601092896174863
5,0.01,3,100,0.95,0.717171717171717,0.715846994535519
31,0.01,1,200,85,0.717171717171717,0.650273224043716
25,0.01,1,100,85,0.787878787878788,0.797814207650273
24,0.14,3,200,0.9,0.808080808080808,0.830601092896175
21,0.01,2,200,0.9,0.853535353535354,0.890710382513661
18,0.14,3,100,0.9,0.868686868686869,0.885245901639344
4,0.14,2,100,0.95,0.893939393939394,0.912568306010929
1,0.01,1,100,0.95,0.924242424242424,0.808743169398907
22,0.14,2,200,0.9,0.924242424242424,0.945355191256831
13,0.01,1,100,0.9,0.929292929292929,0.939890710382514
8,0.14,1,200,0.95,0.944444444444444,0.961748633879781
20,0.14,1,200,0.9,0.94949494949495,0.967213114754098
2,0.14,1,100,0.95,0.95959595959596,0.972677595628415
19,0.01,1,200,0.9,0.964646464646465,0.972677595628415
7,0.01,1,200,0.95,0.974747474747475,0.956284153005464
14,0.14,1,100,0.9,0.974747474747475,0.983606557377049
