"id","learning_rate","num_hidden","num_neurons","dropout_hidden","mse","mse_validate"
13,0.01,1,100,0.8,0.0641075132875469,0.0665938860244522
22,0.01,2,200,0.8,0.0645436474802039,0.0675367828530182
14,0.06,1,100,0.8,0.0645983366469759,0.0672626618708827
9,0.1,1,200,0.9,0.0646514259178816,0.0675884446600944
19,0.01,1,200,0.8,0.0646718376413064,0.0678732390507002
15,0.1,1,100,0.8,0.0646932265977772,0.0673412921964906
23,0.06,2,200,0.8,0.0650469908680732,0.0674202561253807
20,0.06,1,200,0.8,0.0650617114436854,0.0688881587417535
6,0.1,2,100,0.9,0.0654460281861844,0.0694589737896309
21,0.1,1,200,0.8,0.06553826451755,0.0671945872920162
16,0.01,2,100,0.8,0.0660892633481314,0.0679748124715125
10,0.01,2,200,0.9,0.066829228137851,0.068452484779942
8,0.06,1,200,0.9,0.0671473907928916,0.0718240516602801
2,0.06,1,100,0.9,0.0673438351406464,0.0720604414517975
24,0.1,2,200,0.8,0.0674094026341511,0.0688522547968181
12,0.1,2,200,0.9,0.067458666578767,0.0722002408778451
5,0.06,2,100,0.9,0.0675181519814474,0.0722746543626964
7,0.01,1,200,0.9,0.0680419534803599,0.0693766342748268
18,0.1,2,100,0.8,0.071183959809125,0.0767611912105744
17,0.06,2,100,0.8,0.0718155450878894,0.0775129537347821
11,0.06,2,200,0.9,0.0724484922132245,0.0782544324727112
4,0.01,2,100,0.9,0.0731593875019856,0.0734104937805548
3,0.1,1,100,0.9,0.0734643344605048,0.07943009640656
1,0.01,1,100,0.9,0.0776883798168805,0.0772962143629543
