"id","learning_rate","num_hidden","num_neurons","dropout_hidden","mse"
428,0.06,1,200,0.1,0.131423754047255
252,0.04,1,400,0.3,0.202553898703378
404,0.1,1,100,0.1,0.384422191676526
328,0.06,1,200,0.2,0.499106960920223
303,0.06,1,100,0.2,0.547574291195721
128,0.06,1,200,0.4,0.552848278520038
327,0.04,1,200,0.2,0.567672703893922
302,0.04,1,100,0.2,0.639390329995629
403,0.06,1,100,0.1,0.687048919272757
102,0.04,1,100,0.4,0.730512161872843
276,0.01,1,500,0.3,0.790827886568444
101,0.01,1,100,0.4,0.809890075730371
201,0.01,1,100,0.3,0.815280454328357
202,0.04,1,100,0.3,0.816518320153408
401,0.01,1,100,0.1,0.820844728665178
301,0.01,1,100,0.2,0.839477509420544
476,0.01,1,500,0.1,0.841877445464473
326,0.01,1,200,0.2,0.854828190388811
426,0.01,1,200,0.1,0.875233224167316
151,0.01,1,400,0.4,0.87636083547875
126,0.01,1,200,0.4,0.883005361859308
26,0.01,1,200,0.5,0.886316133191013
333,0.06,2,200,0.2,0.892572315245282
433,0.06,2,200,0.1,0.899342589658267
176,0.01,1,500,0.4,0.901144284644015
103,0.06,1,100,0.4,0.909100663665509
402,0.04,1,100,0.1,0.911043540271008
257,0.04,2,400,0.3,0.913410898588116
227,0.04,1,200,0.3,0.927326764965484
452,0.04,1,400,0.1,0.927348506074198
226,0.01,1,200,0.3,0.928919942984089
451,0.01,1,400,0.1,0.940163554579452
27,0.04,1,200,0.5,0.942411313714469
4,0.1,1,100,0.5,0.967363335539064
332,0.04,2,200,0.2,0.980142199732337
481,0.01,2,500,0.1,0.98816241155827
356,0.01,2,400,0.2,0.99103716683866
9,0.1,2,100,0.5,1.00483579823119
209,0.1,2,100,0.3,1.00516238240142
206,0.01,2,100,0.3,1.01059436882184
238,0.06,3,200,0.3,1.01112016290723
87,0.04,3,500,0.5,1.01159198240473
314,0.1,3,100,0.2,1.01171649509958
336,0.01,3,200,0.2,1.01405607899296
36,0.01,3,200,0.5,1.01532449146063
441,0.01,4,200,0.1,1.01552010494897
161,0.01,3,400,0.4,1.01577478229904
166,0.01,4,400,0.4,1.01590712161447
446,0.01,5,200,0.1,1.01632319943052
311,0.01,3,100,0.2,1.01651475633781
416,0.01,4,100,0.1,1.0165905145687
414,0.1,3,100,0.1,1.01661967320171
296,0.01,5,500,0.3,1.01681102885613
423,0.06,5,100,0.1,1.0173156823738
96,0.01,5,500,0.5,1.01745124427692
348,0.06,5,200,0.2,1.0182435202386
319,0.1,4,100,0.2,1.01878946394049
22,0.04,5,100,0.5,1.01880635427355
323,0.06,5,100,0.2,1.01883196214199
442,0.04,4,200,0.1,1.01888839100785
11,0.01,3,100,0.5,1.01916980040094
221,0.01,5,100,0.3,1.01920933744767
61,0.01,3,400,0.5,1.01997567631709
21,0.01,5,100,0.5,1.0202675197381
431,0.01,2,200,0.1,1.02028080926226
467,0.04,4,400,0.1,1.02071857200784
31,0.01,2,200,0.5,1.02149559601256
491,0.01,4,500,0.1,1.0215873223252
62,0.04,3,400,0.5,1.02177087212789
236,0.01,3,200,0.3,1.02219468620503
425,0.14,5,100,0.1,1.02286908750412
216,0.01,4,100,0.3,1.02311244816227
136,0.01,3,200,0.4,1.02346186187698
337,0.04,3,200,0.2,1.02356884366789
281,0.01,2,500,0.3,1.02392564937227
246,0.01,5,200,0.3,1.024512653568
321,0.01,5,100,0.2,1.02455851907755
111,0.01,3,100,0.4,1.02495478299078
318,0.06,4,100,0.2,1.02524115323947
306,0.01,2,100,0.2,1.02668778950949
461,0.01,3,400,0.1,1.02669846928733
436,0.01,3,200,0.1,1.02888766936512
346,0.01,5,200,0.2,1.02898703933716
16,0.01,4,100,0.5,1.02978949710595
256,0.01,2,400,0.3,1.02999480952978
496,0.01,5,500,0.1,1.03034238835975
231,0.01,2,200,0.3,1.03130634407001
218,0.06,4,100,0.3,1.03188018627667
1,0.01,1,100,0.5,1.03192324823417
71,0.01,5,400,0.5,1.03195273365186
478,0.06,1,500,0.1,1.03496002812497
114,0.1,3,100,0.4,1.03500270749363
66,0.01,4,400,0.5,1.03513716271858
137,0.04,3,200,0.4,1.03582840775775
141,0.01,4,200,0.4,1.03598882040666
143,0.06,4,200,0.4,1.03654129570405
116,0.01,4,100,0.4,1.03736635787723
422,0.04,5,100,0.1,1.03768163357024
6,0.01,2,100,0.5,1.03772322048637
211,0.01,3,100,0.3,1.03812352295949
424,0.1,5,100,0.1,1.0385641239113
181,0.01,2,500,0.4,1.04062382350888
146,0.01,5,200,0.4,1.0411573031791
76,0.01,1,500,0.5,1.0428522461399
