"id","learning_rate","num_hidden","num_neurons","dropout_hidden","mse","mse_validate"
77,0.04,1,500,0.5,0.425280368024346,0.548895538571248
378,0.06,1,500,0.65,0.740749018471425,0.898499864219129
630,0.14,1,200,0.8,0.764147764685461,0.941325630092015
2,0.04,1,100,0.5,0.793980384691334,0.973755008388049
452,0.04,1,400,0.7,0.798298738348908,0.974390833016392
753,0.06,1,400,0.85,0.801083781067268,0.942901192904151
228,0.06,1,200,0.6,0.802880836865061,0.983134896842494
1,0.01,1,100,0.5,0.812610884237956,0.938783982184402
177,0.04,1,500,0.55,0.819649461567666,0.910909231684288
28,0.06,1,200,0.5,0.820521472219854,1.02463844823456
403,0.06,1,100,0.7,0.82443026700926,1.00977553845473
627,0.04,1,200,0.8,0.826983937753254,0.961211228193924
377,0.04,1,500,0.65,0.828772818474671,1.00746237077447
727,0.04,1,200,0.85,0.831629093788992,0.979029986533688
101,0.01,1,100,0.55,0.834755865036775,0.989518473769445
503,0.06,1,100,0.75,0.836694415563969,0.992925262780955
52,0.04,1,400,0.5,0.846542216073068,0.928424232372001
603,0.06,1,100,0.8,0.850166982394705,1.00481468286044
103,0.06,1,100,0.55,0.851185357854809,0.94913612181225
602,0.04,1,100,0.8,0.856139534890876,1.01655314472436
402,0.04,1,100,0.7,0.863546049288053,1.04738782612272
426,0.01,1,200,0.7,0.869393773598526,1.04492319979805
652,0.04,1,400,0.8,0.870383391850164,1.02113764863873
226,0.01,1,200,0.6,0.877018404193208,1.04949731430922
877,0.04,1,500,0.9,0.878145432821951,1.03483609341899
728,0.06,1,200,0.85,0.878911491486333,1.05944393077634
126,0.01,1,200,0.55,0.881271951356794,1.04120782090231
352,0.04,1,400,0.65,0.882540761370947,1.05459105977893
852,0.04,1,400,0.9,0.884717869502508,1.03780473640009
702,0.04,1,100,0.85,0.885591565943091,1.06620159746255
879,0.1,1,500,0.9,0.88679757863025,1.05453206374975
302,0.04,1,100,0.65,0.888515454223757,1.08012178430349
276,0.01,1,500,0.6,0.890029427709899,1.04349008085696
127,0.04,1,200,0.55,0.892635080017915,1.08295894412558
251,0.01,1,400,0.6,0.895323429681937,1.05209401732338
578,0.06,1,500,0.75,0.896575603522091,0.986642968688604
827,0.04,1,200,0.9,0.903146642338069,1.07943293499349
554,0.1,1,400,0.75,0.906053505443648,0.973674109627578
376,0.01,1,500,0.65,0.906130942963422,1.08327394797856
3,0.06,1,100,0.5,0.908183346109436,1.01319004235799
351,0.01,1,400,0.65,0.910997272255018,1.09409204166729
676,0.01,1,500,0.8,0.913450469950361,1.09849007951896
451,0.01,1,400,0.7,0.914369698965007,1.08124015121737
576,0.01,1,500,0.75,0.922810575947353,1.08054990572233
752,0.04,1,400,0.85,0.924571687649152,1.13108749077885
476,0.01,1,500,0.7,0.926318611641831,1.10633156110836
26,0.01,1,200,0.5,0.927054262226555,1.04630931343792
528,0.06,1,200,0.75,0.929867002716801,1.05536417555275
755,0.14,1,400,0.85,0.930488773176311,1.09492213464079
176,0.01,1,500,0.55,0.931997664705603,1.06975232309594
303,0.06,1,100,0.65,0.93919781007265,1.04389967003842
553,0.06,1,400,0.75,0.940850345796333,1.15886280945211
828,0.06,1,200,0.9,0.941719445946132,1.12661454805205
201,0.01,1,100,0.6,0.943354611560754,1.15333930377079
803,0.06,1,100,0.9,0.945710829571865,1.13829820526453
76,0.01,1,500,0.5,0.951869920551633,1.15299030309817
102,0.04,1,100,0.55,0.954168735981102,1.04600701581831
853,0.06,1,400,0.9,0.959324945205703,1.17186888373693
829,0.1,1,200,0.9,0.959769906694449,1.162532318355
704,0.1,1,100,0.85,0.962117869545628,1.09223775209013
953,0.06,1,400,0.95,0.963880866771263,1.13657574098685
551,0.01,1,400,0.75,0.967539367740897,1.17588598148861
979,0.1,1,500,0.95,0.974787266052292,1.13916787631182
552,0.04,1,400,0.75,0.975632958288555,1.1935260310808
326,0.01,1,200,0.65,0.981350257931942,1.09102068594676
605,0.14,1,100,0.8,0.988364362432179,1.21627329829665
878,0.06,1,500,0.9,0.989295471553893,1.10072831313692
202,0.04,1,100,0.6,0.995063016992036,1.07326424789379
151,0.01,1,400,0.55,1.00036365833774,1.21843833374543
57,0.04,2,400,0.5,1.00157487727822,1.19922322785889
51,0.01,1,400,0.5,1.00359704003437,1.12393456775148
483,0.06,2,500,0.7,1.0038248111864,1.18429380661059
904,0.1,1,100,0.95,1.00740381148131,1.19753096051219
778,0.06,1,500,0.85,1.00878309787952,1.23835398697862
628,0.06,1,200,0.8,1.01041542402506,1.10082375449066
301,0.01,1,100,0.65,1.01278861390807,1.2345087044133
56,0.01,2,400,0.5,1.01617169293384,1.18582084615096
633,0.06,2,200,0.8,1.01807897128295,1.20890801900874
732,0.04,2,200,0.85,1.01827935432957,1.2076044278825
683,0.06,2,500,0.8,1.01833767938548,1.20436752025532
883,0.06,2,500,0.9,1.01836446719874,1.20943963184559
958,0.06,2,400,0.95,1.01836543872827,1.20383465555387
488,0.06,3,500,0.7,1.01837180022515,1.20572070260362
839,0.1,3,200,0.9,1.01838528118817,1.20435882935001
614,0.1,3,100,0.8,1.01838698803958,1.20380938572943
915,0.14,3,100,0.95,1.0183967982569,1.20413784642271
995,0.14,4,500,0.95,1.01842226715538,1.20368941470148
618,0.06,4,100,0.8,1.01842460596618,1.20587465729506
833,0.06,2,200,0.9,1.01845542744055,1.2028258025719
466,0.01,4,400,0.7,1.01848678032333,1.20313653054408
963,0.06,3,400,0.95,1.01850521701296,1.2029076159004
818,0.06,4,100,0.9,1.01851992553032,1.20691276452292
612,0.04,3,100,0.8,1.01853539956311,1.20704058834293
973,0.06,5,400,0.95,1.01867450487669,1.20802015429292
242,0.04,4,200,0.6,1.01869225035135,1.20816231965947
767,0.04,4,400,0.85,1.01872258667972,1.20830147719789
423,0.06,5,100,0.7,1.01872722087146,1.20833427101419
819,0.1,4,100,0.9,1.01874451842959,1.20174277639439
20,0.14,4,100,0.5,1.01878380015281,1.20134920050206
1000,0.14,5,500,0.95,1.01880055386996,1.20154766340838
443,0.06,4,200,0.7,1.01882387670979,1.20887723129291
313,0.06,3,100,0.65,1.01889558808302,1.20900545630162
136,0.01,3,200,0.55,1.01892004074838,1.20845592238828
637,0.04,3,200,0.8,1.01893015241843,1.20925573380073
867,0.04,4,400,0.9,1.01897686113415,1.2096123213669
391,0.01,4,500,0.65,1.01900596169558,1.20119730725015
813,0.06,3,100,0.9,1.01911305478707,1.20068895101831
968,0.06,4,400,0.95,1.01912496643733,1.21026808035343
645,0.14,4,200,0.8,1.01918458864212,1.21053003754595
417,0.04,4,100,0.7,1.01920777855904,1.20048455419756
872,0.04,5,400,0.9,1.01924487109685,1.21076225205555
672,0.04,5,400,0.8,1.0192493589212,1.21078071941751
118,0.06,4,100,0.55,1.0194210173489,1.21141578151591
486,0.01,3,500,0.7,1.01948468519221,1.19983261523985
342,0.04,4,200,0.65,1.01950648704533,1.19994536961645
517,0.04,4,100,0.75,1.01953726633406,1.19988907898306
586,0.01,3,500,0.75,1.01954964782683,1.19978676847331
905,0.14,1,100,0.95,1.01959526328036,1.21939275674545
196,0.01,5,500,0.55,1.01959781256601,1.21204138407437
31,0.01,2,200,0.5,1.01961134468221,1.21516412821284
773,0.06,5,400,0.85,1.01962340633342,1.21217585907387
868,0.06,4,400,0.9,1.01978922781336,1.19952143495181
623,0.06,5,100,0.8,1.01996777047413,1.19929214801035
419,0.1,4,100,0.7,1.01999548199789,1.1992364126071
989,0.1,3,500,0.95,1.02008461100338,1.21369647059143
361,0.01,3,400,0.65,1.02038875117376,1.21493047929697
764,0.1,3,400,0.85,1.02057425101161,1.19853615176383
113,0.06,3,100,0.55,1.02064941982847,1.19878364426961
591,0.01,4,500,0.75,1.02082636086009,1.19848058287822
874,0.1,5,400,0.9,1.02095081405639,1.19835737029238
944,0.1,4,200,0.95,1.0211198995226,1.21669052516058
8,0.06,2,100,0.5,1.02114438807586,1.20057253242943
643,0.06,4,200,0.8,1.02125775307949,1.19814259143758
845,0.14,4,200,0.9,1.02126451422176,1.21707604893902
823,0.06,5,100,0.9,1.02127543355656,1.21710480918369
42,0.04,4,200,0.5,1.02130779343046,1.19809857849099
273,0.06,5,400,0.6,1.02134113916512,1.19807470977575
331,0.01,2,200,0.65,1.0214505235431,1.19720625945493
787,0.04,3,500,0.85,1.02148398702989,1.21766771845261
910,0.14,2,100,0.95,1.02150228761994,1.19813163661918
708,0.06,2,100,0.85,1.02158512569829,1.2179614815324
994,0.1,4,500,0.95,1.02158847323383,1.21791826961741
141,0.01,4,200,0.55,1.02169018701937,1.19793421002357
929,0.1,1,200,0.95,1.02173361942232,1.23032265513826
792,0.04,4,500,0.85,1.02176349395253,1.21836398365358
32,0.04,2,200,0.5,1.02181266242757,1.19290773627705
581,0.01,2,500,0.75,1.02197481808257,1.19670501199987
518,0.06,4,100,0.75,1.02208531725996,1.19769449206955
481,0.01,2,500,0.7,1.02245954576995,1.19540910241356
21,0.01,5,100,0.5,1.02257670909403,1.22034231914808
843,0.06,4,200,0.9,1.02262772443169,1.19747900603874
742,0.04,4,200,0.85,1.02267675940506,1.22058065598756
447,0.04,5,200,0.7,1.02278342904929,1.2208287565637
207,0.04,2,100,0.6,1.0228653289835,1.19398798362019
462,0.04,3,400,0.7,1.0230953210901,1.22131585137839
16,0.01,4,100,0.5,1.02324025834525,1.2218664275275
96,0.01,5,500,0.5,1.02329965509676,1.19730377856226
814,0.1,3,100,0.9,1.02340259197262,1.19725850881619
241,0.01,4,200,0.6,1.02348348293202,1.19726106169208
212,0.04,3,100,0.6,1.02377839956633,1.1969897278298
747,0.04,5,200,0.85,1.02404124722083,1.22365437837226
978,0.06,1,500,0.95,1.02424205762341,1.15987384360731
988,0.06,3,500,0.95,1.02427121562215,1.22415430553054
356,0.01,2,400,0.65,1.02430625217899,1.19528280463477
386,0.01,3,500,0.65,1.02445280328956,1.19727572639067
363,0.06,3,400,0.65,1.02464573004698,1.1968153414043
924,0.1,5,100,0.95,1.02469745317343,1.1970231507951
642,0.04,4,200,0.8,1.02470170097489,1.19702274668543
725,0.14,5,100,0.85,1.02485868808521,1.22539829785647
336,0.01,3,200,0.65,1.02495988792743,1.19689195743584
371,0.01,5,400,0.65,1.0249725343988,1.19700106389239
408,0.06,2,100,0.7,1.02506454095055,1.2287585316359
737,0.04,3,200,0.85,1.02518206084839,1.22605784020758
809,0.1,2,100,0.9,1.02534551004546,1.19686020818709
897,0.04,5,500,0.9,1.02540164212059,1.19696610874191
237,0.04,3,200,0.6,1.02553626645934,1.226973966782
719,0.1,4,100,0.85,1.02553829890422,1.22680437290312
281,0.01,2,500,0.6,1.02665962412556,1.23184224672049
491,0.01,4,500,0.7,1.02683507690869,1.22938304347252
46,0.01,5,200,0.5,1.02715040186224,1.23001310564004
17,0.04,4,100,0.5,1.02746831805544,1.23062082907787
86,0.01,3,500,0.5,1.02749691836503,1.22974141585287
338,0.06,3,200,0.65,1.02752946892751,1.23076333689786
457,0.04,2,400,0.7,1.02781517612022,1.19159907066015
583,0.06,2,500,0.75,1.02793628206026,1.23495066232237
667,0.04,4,400,0.8,1.02821059968556,1.19707388795604
166,0.01,4,400,0.55,1.02850812467822,1.23267408757624
608,0.06,2,100,0.8,1.02872340339639,1.19614792272466
610,0.14,2,100,0.8,1.0292690813869,1.19524925391193
960,0.14,2,400,0.95,1.02941120685352,1.23430672730733
556,0.01,2,400,0.75,1.02951567188675,1.23701278083032
161,0.01,3,400,0.55,1.03049000905496,1.19752869862106
757,0.04,2,400,0.85,1.03066561025204,1.23675084971273
849,0.1,5,200,0.9,1.03069270471032,1.1974625703451
998,0.06,5,500,0.95,1.03145271968215,1.23796556975688
805,0.14,1,100,0.9,1.0325549639301,1.17005268238385
949,0.1,5,200,0.95,1.03293217892327,1.1979956228802
587,0.04,3,500,0.75,1.03305361587796,1.24062429747399
964,0.1,3,400,0.95,1.03309331527338,1.19804073136807
945,0.14,4,200,0.95,1.03332221636645,1.24122958250317
448,0.06,5,200,0.7,1.03398769910449,1.2423703884298
782,0.04,2,500,0.85,1.03433789917237,1.19882823565669
983,0.06,2,500,0.95,1.03438649215345,1.24304818343358
919,0.1,4,100,0.95,1.0345487598896,1.19846094148108
974,0.1,5,400,0.95,1.03508999509085,1.19862971369612
993,0.06,4,500,0.95,1.03536491588649,1.24469948055669
286,0.01,3,500,0.6,1.03541426024913,1.24467273069957
131,0.01,2,200,0.55,1.03555434370246,1.19712449130643
948,0.06,5,200,0.95,1.03569796030916,1.24525691291629
111,0.01,3,100,0.55,1.03575303206587,1.24535300245232
909,0.1,2,100,0.95,1.0358817549866,1.19891131466579
938,0.06,3,200,0.95,1.03592246923376,1.2456310517581
304,0.1,1,100,0.65,1.03603238632808,1.24727631938801
571,0.01,5,400,0.75,1.03611725296444,1.24595573501965
291,0.01,4,500,0.6,1.03661414992236,1.24678618140166
442,0.04,4,200,0.7,1.03679558969411,1.1991971665057
848,0.06,5,200,0.9,1.0371335704911,1.24763587551001
246,0.01,5,200,0.6,1.037257476042,1.19936263449917
346,0.01,5,200,0.65,1.03737878432586,1.24803820824591
