"id","learning_rate","num_hidden","num_neurons","dropout_hidden","pccc","pccc_validate"
291,0.01,4,500,0.6,0.748717948717949,0.75531914893617
675,0.14,5,400,0.8,0.748717948717949,0.75
879,0.1,1,500,0.9,0.743589743589744,0.723404255319149
960,0.14,2,400,0.95,0.743589743589744,0.718085106382979
448,0.06,5,200,0.7,0.733333333333333,0.723404255319149
527,0.04,1,200,0.75,0.733333333333333,0.75
393,0.06,4,500,0.65,0.728205128205128,0.73936170212766
478,0.06,1,500,0.7,0.728205128205128,0.696808510638298
672,0.04,5,400,0.8,0.702564102564103,0.670212765957447
238,0.06,3,200,0.6,0.697435897435897,0.702127659574468
407,0.04,2,100,0.7,0.697435897435897,0.648936170212766
690,0.14,3,500,0.8,0.697435897435897,0.664893617021277
903,0.06,1,100,0.95,0.697435897435897,0.718085106382979
446,0.01,5,200,0.7,0.692307692307692,0.686170212765957
547,0.04,5,200,0.75,0.692307692307692,0.696808510638298
46,0.01,5,200,0.5,0.687179487179487,0.707446808510638
381,0.01,2,500,0.65,0.687179487179487,0.680851063829787
504,0.1,1,100,0.75,0.682051282051282,0.638297872340426
573,0.06,5,400,0.75,0.682051282051282,0.718085106382979
574,0.1,5,400,0.75,0.682051282051282,0.643617021276596
587,0.04,3,500,0.75,0.682051282051282,0.723404255319149
616,0.01,4,100,0.8,0.682051282051282,0.643617021276596
339,0.1,3,200,0.65,0.676923076923077,0.702127659574468
816,0.01,4,100,0.9,0.676923076923077,0.734042553191489
252,0.04,1,400,0.6,0.671794871794872,0.632978723404255
944,0.1,4,200,0.95,0.671794871794872,0.622340425531915
434,0.1,2,200,0.7,0.666666666666667,0.728723404255319
792,0.04,4,500,0.85,0.666666666666667,0.691489361702128
959,0.1,2,400,0.95,0.666666666666667,0.718085106382979
65,0.14,3,400,0.5,0.661538461538462,0.734042553191489
418,0.06,4,100,0.7,0.656410256410256,0.611702127659574
634,0.1,2,200,0.8,0.656410256410256,0.707446808510638
904,0.1,1,100,0.95,0.656410256410256,0.728723404255319
958,0.06,2,400,0.95,0.656410256410256,0.648936170212766
140,0.14,3,200,0.55,0.651282051282051,0.718085106382979
817,0.04,4,100,0.9,0.651282051282051,0.627659574468085
63,0.06,3,400,0.5,0.646153846153846,0.728723404255319
94,0.1,4,500,0.5,0.646153846153846,0.718085106382979
111,0.01,3,100,0.55,0.646153846153846,0.718085106382979
304,0.1,1,100,0.65,0.646153846153846,0.718085106382979
335,0.14,2,200,0.65,0.646153846153846,0.718085106382979
442,0.04,4,200,0.7,0.646153846153846,0.718085106382979
823,0.06,5,100,0.9,0.646153846153846,0.712765957446808
906,0.01,2,100,0.95,0.646153846153846,0.723404255319149
955,0.14,1,400,0.95,0.646153846153846,0.723404255319149
22,0.04,5,100,0.5,0.641025641025641,0.627659574468085
80,0.14,1,500,0.5,0.641025641025641,0.718085106382979
93,0.06,4,500,0.5,0.641025641025641,0.718085106382979
100,0.14,5,500,0.5,0.641025641025641,0.718085106382979
165,0.14,3,400,0.55,0.641025641025641,0.718085106382979
201,0.01,1,100,0.6,0.641025641025641,0.718085106382979
235,0.14,2,200,0.6,0.641025641025641,0.718085106382979
292,0.04,4,500,0.6,0.641025641025641,0.718085106382979
352,0.04,1,400,0.65,0.641025641025641,0.718085106382979
408,0.06,2,100,0.7,0.641025641025641,0.718085106382979
410,0.14,2,100,0.7,0.641025641025641,0.718085106382979
551,0.01,1,400,0.75,0.641025641025641,0.718085106382979
567,0.04,4,400,0.75,0.641025641025641,0.707446808510638
619,0.1,4,100,0.8,0.641025641025641,0.718085106382979
671,0.01,5,400,0.8,0.641025641025641,0.723404255319149
798,0.06,5,500,0.85,0.641025641025641,0.718085106382979
847,0.04,5,200,0.9,0.641025641025641,0.723404255319149
859,0.1,2,400,0.9,0.641025641025641,0.718085106382979
887,0.04,3,500,0.9,0.641025641025641,0.718085106382979
932,0.04,2,200,0.95,0.641025641025641,0.718085106382979
970,0.14,4,400,0.95,0.641025641025641,0.718085106382979
988,0.06,3,500,0.95,0.641025641025641,0.718085106382979
48,0.06,5,200,0.5,0.635897435897436,0.723404255319149
114,0.1,3,100,0.55,0.635897435897436,0.723404255319149
124,0.1,5,100,0.55,0.635897435897436,0.675531914893617
222,0.04,5,100,0.6,0.635897435897436,0.723404255319149
321,0.01,5,100,0.65,0.635897435897436,0.718085106382979
333,0.06,2,200,0.65,0.635897435897436,0.723404255319149
588,0.06,3,500,0.75,0.635897435897436,0.718085106382979
686,0.01,3,500,0.8,0.635897435897436,0.712765957446808
719,0.1,4,100,0.85,0.635897435897436,0.718085106382979
746,0.01,5,200,0.85,0.635897435897436,0.712765957446808
826,0.01,1,200,0.9,0.635897435897436,0.712765957446808
854,0.1,1,400,0.9,0.635897435897436,0.718085106382979
874,0.1,5,400,0.9,0.635897435897436,0.718085106382979
888,0.06,3,500,0.9,0.635897435897436,0.712765957446808
901,0.01,1,100,0.95,0.635897435897436,0.712765957446808
930,0.14,1,200,0.95,0.635897435897436,0.718085106382979
943,0.06,4,200,0.95,0.635897435897436,0.723404255319149
101,0.01,1,100,0.55,0.630769230769231,0.712765957446808
102,0.04,1,100,0.55,0.630769230769231,0.718085106382979
143,0.06,4,200,0.55,0.630769230769231,0.723404255319149
350,0.14,5,200,0.65,0.630769230769231,0.712765957446808
387,0.04,3,500,0.65,0.630769230769231,0.718085106382979
428,0.06,1,200,0.7,0.630769230769231,0.712765957446808
445,0.14,4,200,0.7,0.630769230769231,0.670212765957447
457,0.04,2,400,0.7,0.630769230769231,0.723404255319149
463,0.06,3,400,0.7,0.630769230769231,0.606382978723404
470,0.14,4,400,0.7,0.630769230769231,0.648936170212766
482,0.04,2,500,0.7,0.630769230769231,0.723404255319149
528,0.06,1,200,0.75,0.630769230769231,0.712765957446808
