"id","learning_rate","num_hidden","num_neurons","dropout_hidden","mse","mse_validate"
453,0.06,1,400,0.7,0.0425614425292065,0.0442865825139223
105,0.14,1,100,0.55,0.0432557676138166,0.0402774928847942
553,0.06,1,400,0.75,0.0472356292275046,0.0475302064036131
653,0.06,1,400,0.8,0.0473165589680515,0.0477807546545252
127,0.04,1,200,0.55,0.0479828841111888,0.0504414098628629
26,0.01,1,200,0.5,0.0507424914489258,0.0519202200199973
429,0.1,1,200,0.7,0.0521318041221804,0.0510392317078291
234,0.1,2,200,0.6,0.0528673194940103,0.054930955939528
476,0.01,1,500,0.7,0.0534763136043173,0.0555391746040353
27,0.04,1,200,0.5,0.0536416380877964,0.05259054634942
202,0.04,1,100,0.6,0.0536764613241165,0.0546169358065147
203,0.06,1,100,0.6,0.0538672611108835,0.0564470620694795
779,0.1,1,500,0.85,0.0539076640310715,0.0572943342797927
403,0.06,1,100,0.7,0.0540756913059239,0.0571187523935337
730,0.14,1,200,0.85,0.0541842053643987,0.0550212418877766
527,0.04,1,200,0.75,0.054256442323043,0.0561502537088797
428,0.06,1,200,0.7,0.0543194742859345,0.0544144954995068
402,0.04,1,100,0.7,0.0543882858767036,0.0569306704828241
302,0.04,1,100,0.65,0.0546918028712216,0.0575417864286639
576,0.01,1,500,0.75,0.0547621690773991,0.0555784198830106
2,0.04,1,100,0.5,0.0548184551148212,0.0569646900478764
477,0.04,1,500,0.7,0.0551570560727247,0.0585509209426228
529,0.1,1,200,0.75,0.0551947716722455,0.0542646475781181
627,0.04,1,200,0.8,0.0552457721281546,0.0580598920319218
503,0.06,1,100,0.75,0.0553236421754761,0.0580318060240026
651,0.01,1,400,0.8,0.0554389951448855,0.057709998143897
226,0.01,1,200,0.6,0.0556302504474637,0.0574617752371059
502,0.04,1,100,0.75,0.0556543517520453,0.0572489499555613
752,0.04,1,400,0.85,0.0557375162325569,0.0584856012682587
728,0.06,1,200,0.85,0.0558224055963244,0.0584553031708099
276,0.01,1,500,0.6,0.0558681147873765,0.0572206536100795
426,0.01,1,200,0.7,0.0559124063835699,0.057563944374964
853,0.06,1,400,0.9,0.0559259205195618,0.0587144101272653
827,0.04,1,200,0.9,0.0559708143139088,0.0582061410841168
601,0.01,1,100,0.8,0.0560010454116859,0.0581192009867545
551,0.01,1,400,0.75,0.0562090604625843,0.0594642516715259
602,0.04,1,100,0.8,0.0562192375635734,0.0579333427588328
652,0.04,1,400,0.8,0.0562323421691219,0.0597295946617132
626,0.01,1,200,0.8,0.0562346855679773,0.0583539554596969
877,0.04,1,500,0.9,0.0562477274365076,0.0585204293230933
876,0.01,1,500,0.9,0.0562518923400724,0.0586241192212089
151,0.01,1,400,0.55,0.0563513908697467,0.0591357222407027
1,0.01,1,100,0.5,0.0565161547941233,0.0581844982805222
927,0.04,1,200,0.95,0.056532583198745,0.0589657939331895
703,0.06,1,100,0.85,0.0565339663578337,0.0593731864563165
704,0.1,1,100,0.85,0.0565598191047257,0.0595821825901752
727,0.04,1,200,0.85,0.0565909831493514,0.0595125507417348
802,0.04,1,100,0.9,0.0566275769769792,0.0585160693672563
980,0.14,1,500,0.95,0.0566511979731897,0.0580940596318997
101,0.01,1,100,0.55,0.0566600853768215,0.0578364826857581
929,0.1,1,200,0.95,0.0566753766719848,0.0587397305325489
526,0.01,1,200,0.75,0.0566966611338714,0.057941108952873
954,0.1,1,400,0.95,0.056711691312801,0.0593348317998976
903,0.06,1,100,0.95,0.0567506199904041,0.0592222915677051
851,0.01,1,400,0.9,0.0567836986075098,0.0582920744378307
107,0.04,2,100,0.55,0.0568699828139548,0.0591826419828319
501,0.01,1,100,0.75,0.0568934033986814,0.0595643427541864
902,0.04,1,100,0.95,0.056913316511372,0.0592822670809242
633,0.06,2,200,0.8,0.0569221030707741,0.0591382083842896
631,0.01,2,200,0.8,0.0569268591464305,0.0590447613654028
353,0.06,1,400,0.65,0.0569353928542922,0.0535337127973128
829,0.1,1,200,0.9,0.0569426264463451,0.0588016743073748
706,0.01,2,100,0.85,0.0569464377005702,0.0592616641431805
781,0.01,2,500,0.85,0.0569470771142862,0.0592733120211277
957,0.04,2,400,0.95,0.0569518502668884,0.0591885252611508
541,0.01,4,200,0.75,0.056952487218053,0.0592197807864487
997,0.04,5,500,0.95,0.0569528381140676,0.0592362474363825
922,0.04,5,100,0.95,0.0569532838223313,0.0592457828765023
617,0.04,4,100,0.8,0.0569535922981448,0.0592505877798811
908,0.06,2,100,0.95,0.0569537699993001,0.0592640133028911
842,0.04,4,200,0.9,0.0569559842282582,0.0592767447579791
246,0.01,5,200,0.6,0.0569561960877346,0.0592770802224648
211,0.01,3,100,0.6,0.0569570965991402,0.0592607247921734
342,0.04,4,200,0.65,0.056957136207981,0.0591656423981642
347,0.04,5,200,0.65,0.056959353358973,0.0593013501075076
835,0.14,2,200,0.9,0.0569596126954819,0.0593157482833038
659,0.1,2,400,0.8,0.0569604518902711,0.0591694709002714
897,0.04,5,500,0.9,0.0569606805605595,0.0591486420320565
744,0.1,4,200,0.85,0.0569609761197766,0.0591477099538416
998,0.06,5,500,0.95,0.0569614625758942,0.0591456466130342
404,0.1,1,100,0.7,0.056961935472291,0.0573628965581988
19,0.1,4,100,0.5,0.056962564422974,0.0593216484315435
992,0.04,4,500,0.95,0.0569631903872535,0.0591395613741052
341,0.01,4,200,0.65,0.0569636006404776,0.0593233871763047
912,0.04,3,100,0.95,0.0569639538680896,0.0591371021544279
512,0.04,3,100,0.75,0.0569641201583207,0.0591366230207177
881,0.01,2,500,0.9,0.0569658250067257,0.0592458999102624
542,0.04,4,200,0.75,0.0569721367423919,0.0591161538962489
819,0.1,4,100,0.9,0.0569727840319003,0.0591142629085357
111,0.01,3,100,0.55,0.056975346369346,0.0591142629212471
972,0.04,5,400,0.95,0.0569787817830942,0.0591026540789965
989,0.1,3,500,0.95,0.0569826930241368,0.0594065545170879
807,0.04,2,100,0.9,0.0569851826555008,0.0594217634013284
732,0.04,2,200,0.85,0.0569873500363139,0.0594075087546913
4,0.1,1,100,0.5,0.056988911015478,0.0546315566394863
