"id","learning_rate","num_hidden","num_neurons","dropout_hidden","pccc","pccc_validate"
3,0.06,1,100,0.5,0.998901098901099,0.998993963782696
14,0.1,3,100,0.5,0.998901098901099,0.997987927565392
47,0.04,5,200,0.5,0.998901098901099,1
59,0.1,2,400,0.5,0.998901098901099,0.997987927565392
92,0.04,4,500,0.5,0.998901098901099,1
98,0.06,5,500,0.5,0.998901098901099,0.998993963782696
130,0.14,1,200,0.55,0.998901098901099,0.997987927565392
150,0.14,5,200,0.55,0.998901098901099,0.997987927565392
171,0.01,5,400,0.55,0.998901098901099,0.998993963782696
172,0.04,5,400,0.55,0.998901098901099,0.998993963782696
191,0.01,4,500,0.55,0.998901098901099,0.997987927565392
202,0.04,1,100,0.6,0.998901098901099,1
251,0.01,1,400,0.6,0.998901098901099,0.997987927565392
385,0.14,2,500,0.65,0.998901098901099,1
444,0.1,4,200,0.7,0.998901098901099,0.998993963782696
598,0.06,5,500,0.75,0.998901098901099,0.998993963782696
614,0.1,3,100,0.8,0.998901098901099,0.997987927565392
668,0.06,4,400,0.8,0.998901098901099,0.998993963782696
671,0.01,5,400,0.8,0.998901098901099,1
681,0.01,2,500,0.8,0.998901098901099,1
741,0.01,4,200,0.85,0.998901098901099,0.998993963782696
800,0.14,5,500,0.85,0.998901098901099,0.997987927565392
805,0.14,1,100,0.9,0.998901098901099,0.997987927565392
814,0.1,3,100,0.9,0.998901098901099,1
821,0.01,5,100,0.9,0.998901098901099,1
825,0.14,5,100,0.9,0.998901098901099,0.998993963782696
836,0.01,3,200,0.9,0.998901098901099,0.998993963782696
852,0.04,1,400,0.9,0.998901098901099,1
854,0.1,1,400,0.9,0.998901098901099,1
963,0.06,3,400,0.95,0.998901098901099,0.997987927565392
5,0.14,1,100,0.5,0.997802197802198,0.997987927565392
42,0.04,4,200,0.5,0.997802197802198,0.997987927565392
81,0.01,2,500,0.5,0.997802197802198,0.997987927565392
82,0.04,2,500,0.5,0.997802197802198,0.997987927565392
88,0.06,3,500,0.5,0.997802197802198,1
104,0.1,1,100,0.55,0.997802197802198,0.997987927565392
105,0.14,1,100,0.55,0.997802197802198,0.997987927565392
122,0.04,5,100,0.55,0.997802197802198,0.997987927565392
144,0.1,4,200,0.55,0.997802197802198,0.997987927565392
146,0.01,5,200,0.55,0.997802197802198,0.997987927565392
152,0.04,1,400,0.55,0.997802197802198,0.997987927565392
161,0.01,3,400,0.55,0.997802197802198,1
165,0.14,3,400,0.55,0.997802197802198,0.997987927565392
190,0.14,3,500,0.55,0.997802197802198,0.997987927565392
208,0.06,2,100,0.6,0.997802197802198,0.997987927565392
209,0.1,2,100,0.6,0.997802197802198,0.997987927565392
212,0.04,3,100,0.6,0.997802197802198,0.997987927565392
216,0.01,4,100,0.6,0.997802197802198,1
262,0.04,3,400,0.6,0.997802197802198,0.997987927565392
271,0.01,5,400,0.6,0.997802197802198,0.997987927565392
273,0.06,5,400,0.6,0.997802197802198,0.997987927565392
